tconst	averageRating	numVotes
tt0027160	6.3	13
tt0027163	6.7	166
tt0027208	6.4	11
tt0027224	6.7	11
tt0027225	6.4	26
tt0027229	5.1	32
tt0027271	6.1	96
tt0027278	7.3	70
tt0027294	5.8	72
tt0027321	6.2	93
tt0027366	5.2	105
tt0027369	5.1	70
tt0027383	6.6	37
tt0027388	5.6	40
tt0027408	5.9	223
tt0027422	5.6	45
tt0027424	6.0	57
tt0027428	6.3	810
tt0027431	4.7	12
tt0027458	6.0	29
tt0027460	6.1	115
tt0027467	6.9	19
tt0027472	3.5	21
tt0027475	5.8	62
tt0027483	6.4	30
tt0027494	7.8	35
tt0027532	7.7	10598
tt0027539	7.3	70
tt0027548	6.4	20
tt0027573	7.6	18
tt0027580	7.5	9
tt0027598	5.4	9
tt0027602	5.5	14
tt0027613	6.8	38
tt0027639	6.4	66
tt0027650	7.3	12
tt0027658	6.5	49
tt0027663	6.4	17
tt0027670	6.1	137
tt0027672	7.4	3126
tt0027731	5.9	29
tt0027736	5.7	30
tt0027746	5.7	736
tt0027752	7.7	4250
tt0027792	6.6	9
tt0027821	5.4	34
tt0027830	6.5	219
tt0027848	5.6	165
tt0027862	6.2	143
tt0027864	5.9	13
tt0027870	6.2	90
tt0027873	5.9	64
tt0027883	6.4	15
tt0027884	7.8	9314
tt0027893	7.3	2658
tt0027902	6.9	1252
tt0027910	7.7	13
tt0027914	6.0	1418
tt0027915	6.7	27
tt0027923	6.1	230
tt0027930	5.8	79
tt0027932	5.5	262
tt0027944	3.0	27
tt0027996	7.8	24073
tt0027999	5.0	314
tt0028004	5.6	415
tt0028009	6.3	89
tt0028017	7.0	7
tt0028022	6.9	38
tt0028026	5.9	27
tt0028103	6.1	822
tt0028139	4.9	18
tt0028142	6.7	605
tt0028170	5.0	107
tt0028171	6.5	17
tt0028189	7.0	19
tt0028225	6.7	282
tt0028231	6.4	9352
tt0028247	6.8	42
tt0028254	6.0	123
tt0028258	6.0	82
tt0028270	6.3	325
tt0028306	6.6	93
tt0028310	6.3	636
tt0028320	8.5	10
tt0028326	6.1	30
tt0028348	6.3	72
tt0028377	6.7	222
tt0028383	6.0	257
tt0028384	7.3	32
tt0028405	5.8	375
tt0028412	5.4	42
tt0028420	6.6	769
tt0028436	6.9	1249
tt0028444	4.6	663
tt0028454	6.3	182
tt0028472	6.1	21
tt0028481	6.0	287
tt0028506	5.5	56
tt0028543	5.8	27
tt0028554	6.0	129
tt0028564	5.7	289
tt0028568	5.1	204
tt0028582	4.4	185
tt0028593	6.5	71
tt0028612	6.4	50
tt0028627	5.8	40
tt0028649	5.1	145
tt0028661	6.3	1308
tt0028668	6.0	1081
tt0028669	5.8	483
tt0028715	5.3	171
tt0028739	6.5	1787
tt0028747	6.7	63
tt0028748	6.2	108
tt0028749	6.3	102
tt0028750	4.6	15
tt0028751	6.1	10
tt0028765	6.5	158
tt0028768	5.5	92
tt0028771	6.6	11
tt0028802	5.2	68
tt0028836	5.9	256
tt0028843	6.1	517
tt0028856	6.5	113
tt0028878	7.3	32
tt0028908	5.2	18
tt0028924	7.3	11
tt0028943	5.5	119
tt0028956	5.8	373
tt0028958	6.1	641
tt0028970	5.6	146
tt0028971	5.5	168
tt0029005	4.8	133
tt0029006	4.9	365
tt0029023	5.1	40
tt0029039	6.6	200
tt0029077	7.3	342
tt0029082	6.2	474
tt0029084	5.4	70
tt0029087	6.8	1536
tt0029092	5.9	80
tt0029096	6.8	69
tt0029099	7.9	241
tt0029111	5.3	106
tt0029116	7.1	33
tt0029171	6.5	707
tt0029190	6.5	480
tt0029199	5.6	123
tt0029205	5.7	19
tt0029215	6.9	28
tt0029229	6.2	71
tt0029238	5.9	132
tt0029252	6.3	25
tt0029267	5.4	289
tt0029280	6.1	66
tt0029288	6.3	33
tt0029297	6.5	727
tt0029310	7.2	3163
tt0029327	5.8	87
tt0029334	5.5	271
tt0029340	5.2	68
tt0029349	6.3	196
tt0029368	7.0	8
tt0029388	5.8	380
tt0029406	5.6	26
tt0029440	7.2	3021
tt0029449	6.4	19
tt0029454	6.2	1343
tt0029503	7.4	13
tt0029506	4.8	19
tt0029523	9.5	12
tt0029530	6.8	116
tt0029542	4.8	610
tt0029549	6.4	41
tt0029577	6.3	232
tt0029637	5.1	84
tt0029654	5.8	226
tt0029692	6.4	85
tt0029693	6.6	32
tt0029701	5.5	39
tt0029706	7.4	1023
tt0029720	6.4	23
tt0029730	6.3	19
tt0029733	5.5	74
tt0029759	6.5	18
tt0029776	7.1	52
tt0029792	7.0	35
tt0029809	5.4	153
tt0029840	4.3	39
tt0029862	5.2	53
tt0029873	4.7	62
tt0029887	8.0	18
tt0029894	6.4	566
tt0029899	6.5	733
tt0029935	4.7	46
tt0029944	6.3	56
tt0029948	5.9	237
tt0029950	6.6	819
tt0029958	7.1	21
tt0029972	6.5	141
tt0029983	4.8	18
tt0029984	6.7	1890
tt0029991	7.6	21
tt0030005	5.3	56
tt0030023	4.7	91
tt0030026	6.5	1491
tt0030032	6.6	54
tt0030078	5.9	104
tt0030090	6.4	189
tt0030094	6.0	8
tt0030108	6.2	690
tt0030122	5.5	29
tt0030127	7.5	2535
tt0030138	6.9	1096
tt0030145	6.0	610
tt0030173	6.0	83
tt0030182	6.3	490
tt0030186	6.0	134
tt0030213	6.2	205
tt0030247	6.9	50
tt0030256	5.5	449
tt0030258	7.1	19
tt0030262	5.1	61
tt0030264	6.2	13
tt0030266	6.2	51
tt0030274	6.5	93
tt0030292	6.6	78
tt0030294	7.1	18
tt0030301	6.2	46
tt0030303	5.7	167
tt0030332	6.9	12
tt0030339	7.1	18
tt0030342	5.9	195
tt0030383	6.4	118
tt0030449	6.3	160
tt0030481	6.0	220
tt0030492	5.9	116
tt0030518	6.3	277
tt0030523	7.6	4528
tt0030539	6.3	25
tt0030544	5.4	14
tt0030564	5.5	37
tt0030579	5.2	16
tt0030586	7.6	408
tt0030626	6.3	101
tt0030627	5.7	104
tt0030637	7.7	10047
tt0030645	5.9	123
tt0030655	5.6	201
tt0030659	4.6	94
tt0030660	6.3	19
tt0030668	5.7	379
tt0030674	6.7	77
tt0030697	4.4	18
tt0030705	6.5	16
tt0030706	6.1	207
tt0030707	6.1	23
tt0030721	7.2	8
tt0030752	6.6	264
tt0030770	5.6	30
tt0030791	5.5	48
tt0030793	6.0	274
tt0030822	7.7	9
tt0030826	6.9	27
tt0030839	5.7	211
tt0030846	5.5	309
tt0030850	6.3	392
tt0030865	7.1	2175
